alias,canonical_label,notes
"ASSISTANT CHIEF OF STAFF, INTELLIGENCE, DEPARTMENT OF THE ARMY","ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY",lexical_context_similarity
ASSISTANT SECRETARY OF DEFENSE (INTERNATIONAL SECURITY AFFAIRS),ASSISTANT SECRETARY OF DEFENSE FOR INTERNATIONAL SECURITY AFFAIRS,lexical_context_similarity
ASSISTANT TO SECRETARY OF DEFENSE (SPECIAL OPERATIONS),ASSISTANT TO SECRETARY OF DEFENSE FOR SPECIAL OPERATIONS,lexical_context_similarity
US FAR EAST COMMAND,FAR EAST COMMAND,lexical_context_similarity
KING MOHAMED,KING MOHAMED V,lexical_context_similarity
PRIME MINISTER U NU,PRIME MINISTER NU,lexical_context_similarity
US EMBASSY LONDON,AMERICAN EMBASSY,lexical_context_similarity
D. S. SHEPILOV,SHEPILOV,lexical_context_similarity
U KYAW NYEIN,KYAW NYEIN,lexical_context_similarity
BURMESE PREMIER U NU,PREMIER NU,lexical_context_similarity
AMERICAN EMBASSY AT COPENHAGEN,AMERICAN EMBASSY,lexical_context_similarity
US AMBASSADOR ALLEN,AMBASSADOR ALLEN,lexical_context_similarity
US EMBASSY RANGOON,AMERICAN EMBASSY IN RANGOON,lexical_context_similarity
NEPALI CONGRESS PARTY,NEPALI CONGRESS,lexical_context_similarity
US FAR EAST AIR FORCE,FAR EAST AIR FORCE,lexical_context_similarity
US EMBASSY ROME,AMERICAN EMBASSY,lexical_context_similarity
INTERNATIONAL BANK OF RECONSTRUCTION AND DEVELOPMENT,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,lexical_context_similarity
"DIRECTOR, NATIONAL AERONAUTICS AND SPACE ADMINISTRATION",NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,lexical_context_similarity
FRENCH CHRISTIAN WORKERS LABOR CONFEDERATION,FRENCH CHRISTIAN WORKERS CONFEDERATION,lexical_context_similarity
US HIGH COMMISSIONER MCCLOY,HIGH COMMISSIONER MCCLOY,lexical_context_similarity
TYURA TAM GUIDED MISSILE TEST RANGE,TYURA TAM,lexical_context_similarity
US LEGATION SAIGON,US LEGATION IN SAIGON,lexical_context_similarity
BRITISH ANGLO-IRANIAN OIL COMPANY,ANGLO-IRANIAN OIL COMPANY,lexical_context_similarity
DISARMAMENT COMMISSION,UN DISARMAMENT COMMISSION,lexical_context_similarity
LT. GENERAL TIMUR BAKHTIAR,GENERAL BAKHTIAR,lexical_context_similarity
US EMBASSY CAIRO,AMERICAN EMBASSY,lexical_context_similarity
V. KUZNETSOV,KUZNETSOV,lexical_context_similarity
PREMIER U NU,PREMIER NU,lexical_context_similarity
US EMBASSY PARIS,AMERICAN EMBASSY,lexical_context_similarity
COMMITTEE FOR NATIONAL UNION,COMMITTEE OF NATIONAL UNION,lexical_context_similarity
EMPEROR HAILE SELASSIE,HAILE SELASSIE,lexical_context_similarity
SECURITY COUNCIL,UN SECURITY COUNCIL,lexical_context_similarity
GEN. TEIMUR BAKHTIAR,GENERAL BAKHTIAR,lexical_context_similarity
V. K. KRISHNA MENON,KRISHNA MENON,lexical_context_similarity
LANKA SAMA SAMAJ PARTY,LANKA SAMA SAMAJ PARTY (LSSP),lexical_context_similarity
US EMBASSY NEW DELHI,AMERICAN EMBASSY,lexical_context_similarity
US MILITARY ASSISTANCE ADVISORY GROUP,MILITARY ASSISTANCE ADVISORY GROUP,lexical_context_similarity
NIKOLAY G. IGNATOV,NIKOLAY IGNATOV,lexical_context_similarity
DEMOCRATIC REPUBLICAN UNION PARTY (URD),DEMOCRATIC REPUBLICAN UNION (URD),lexical_context_similarity
UN PALESTINE CONCILIATION COMMISSION,PALESTINE CONCILIATION COMMISSION,lexical_context_similarity
EMBASSY MOSCOW,AMERICAN EMBASSY,lexical_context_similarity
NORTH VIETNAMESE NATIONAL RED CROSS,NORTH VIETNAMESE RED CROSS,lexical_context_similarity
ANGLO-JORDANIAN DEFENSE TREATY,ANGLO-JORDANIAN TREATY,lexical_context_similarity
SOUTH KOREAN ASSEMBLY,SOUTH KOREAN NATIONAL ASSEMBLY,lexical_context_similarity
FOREIGN MINISTER BIDAULT,FRENCH FOREIGN MINISTER BIDAULT,lexical_context_similarity
US EMBASSY WARSAW,AMERICAN EMBASSY,lexical_context_similarity
COUNCIL OF MUTUAL ECONOMIC ASSISTANCE,COUNCIL FOR MUTUAL ECONOMIC ASSISTANCE,lexical_context_similarity
B. P. KOIRALA,KOIRALA,lexical_context_similarity
ANASTAS I. MIKOYAN,ANASTAS MIKOYAN,lexical_context_similarity
IRANIAN INTELLIGENCE AND SECURITY ORGANIZATION (SAVAK),IRANIAN NATIONAL INTELLIGENCE AND SECURITY ORGANIZATION (SAVAK),lexical_context_similarity
CHINESE NATIONALIST MINISTRY OF DEFENSE,CHINESE NATIONALIST DEFENSE MINISTRY,lexical_context_similarity
CUBAN CONFEDERATION OF LABOR (CTC),CUBAN WORKERS CONFEDERATION,lexical_context_similarity
FRENCH DEFENSE MINISTER PLEVEN,DEFENSE MINISTER PLEVEN,lexical_context_similarity
FROL R. KOZLOV,FROL KOZLOV,lexical_context_similarity
INDIAN PRIME MINISTER NEHRU,PRIME MINISTER NEHRU,lexical_context_similarity
UNDER SECRETARY OF STATE FOR POLITICAL AFFAIRS,UNDER SECRETARY OF STATE,lexical_context_similarity
STATE DEPARTMENT,DEPARTMENT OF STATE,lexical_context_similarity
AMBASSADOR GRADY,US AMBASSADOR GRADY,lexical_context_similarity
AMERICAN EMBASSY AT NEW DELHI,AMERICAN EMBASSY,lexical_context_similarity
