source_global,target_global,rel,weight,support_count,doc_ids,weight_raw_meta
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:1,META_LINK,9.699037801795491,31372,2000169_CIA-RDP79T00975A005500060001-4;2000170_CIA-RDP79T00975A005500070001-3;2000172_CIA-RDP79T00975A005500090001-1;2000176_CIA-RDP79T00975A005500160001-3;2000177_CIA-RDP79T00975A005500170001-2;2000179_CIA-RDP79T00975A005500190001-0;2000180_CIA-RDP79T00975A005500200001-8;2000181_CIA-RDP79T00975A005500210001-7;2000183_CIA-RDP79T00975A005500230001-5;2000184_CIA-RDP79T00975A005500240001-4;2000186_CIA-RDP79T00975A005500280001-0;2000188_CIA-RDP79T00975A005500300001-7;2000189_CIA-RDP79T00975A005500310001-6;2000190_CIA-RDP79T00975A005500320001-5;2000193_CIA-RDP79T00975A005500350001-2;2000194_CIA-RDP79T00975A005500360001-1;2000195_CIA-RDP79T00975A005500370001-0;2000196_CIA-RDP79T00975A005500380001-9;2000198_CIA-RDP79T00975A005500400001-6;2001967_CIA-RDP79T00975A005600090001-0;2001968_CIA-RDP79T00975A005600110001-7;2001970_CIA-RDP79T00975A005600170001-1;2001974_CIA-RDP79T00975A005600280001-9;2001975_CIA-RDP79T00975A005600290001-8;2001976_CIA-RDP79T00975A005600310001-5;2001977_CIA-RDP79T00975A005600320001-4;2001978_CIA-RDP79T00975A005600330001-3;2001979_CIA-RDP79T00975A005600350001-1;2001981_CIA-RDP79T00975A005600370001-9;2001982_CIA-RDP79T00975A005600380001-8,16300.913976872991
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:10,META_LINK,6.643499535392503,2415,2000169_CIA-RDP79T00975A005500060001-4;2000178_CIA-RDP79T00975A005500180001-1;2000193_CIA-RDP79T00975A005500350001-2;2000194_CIA-RDP79T00975A005500360001-1;2000196_CIA-RDP79T00975A005500380001-9;2000197_CIA-RDP79T00975A005500390001-8;2000198_CIA-RDP79T00975A005500400001-6;2001973_CIA-RDP79T00975A005600250001-2;2001987_CIA-RDP79T00975A005600430001-2;2001988_CIA-RDP79T00975A005600440001-1;2003045_CIA-RDP79T00975A000100510001-3;2008412_CIA-RDP79T00975A001400460001-5;2008416_CIA-RDP79T00975A004000320001-1;2018022_CIA-RDP79T00975A001600130001-9;2020903_CIA-RDP79T00975A001200390001-5;2026613_CIA-RDP79T00975A005500450001-1;2049780_CIA-RDP79T00975A005700090001-9;2049781_CIA-RDP79T00975A005700100001-7;2049782_CIA-RDP79T00975A005700110001-6;2049783_CIA-RDP79T00975A005700120001-5;2049785_CIA-RDP79T00975A005700140001-3;2049787_CIA-RDP79T00975A005700180001-9;2049788_CIA-RDP79T00975A005700200001-6;2049792_CIA-RDP79T00975A005700330001-2;2049795_CIA-RDP79T00975A005700360001-9;2049796_CIA-RDP79T00975A005700370001-8;2049797_CIA-RDP79T00975A005700380001-7;2049800_CIA-RDP79T00975A005700410001-3;2066863_CIA-RDP79T00975A003400450001-4;2623663_CIA-RDP79T00975A000500250001-8,766.7771604593613
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:11,META_LINK,6.649257952198654,2106,2000173_CIA-RDP79T00975A005500120001-7;2000179_CIA-RDP79T00975A005500190001-0;2000184_CIA-RDP79T00975A005500240001-4;2000187_CIA-RDP79T00975A005500290001-9;2000188_CIA-RDP79T00975A005500300001-7;2001977_CIA-RDP79T00975A005600320001-4;2001987_CIA-RDP79T00975A005600430001-2;2001998_CIA-RDP79T00975A000300300001-4;2003050_CIA-RDP79T00975A000100600001-3;2003071_CIA-RDP79T00975A000200490001-5;2003074_CIA-RDP79T00975A000200530001-0;2008390_CIA-RDP79T00975A000400590001-2;2008416_CIA-RDP79T00975A004000320001-1;2018011_CIA-RDP79T00975A000900340001-4;2020557_CIA-RDP79T00975A000400300001-3;2027260_CIA-RDP79T00975A002600010001-1;2038287_CIA-RDP79T00975A004600250001-3;2039272_CIA-RDP79T00975A002900390001-7;2039273_CIA-RDP79T00975A002900490001-6;2049792_CIA-RDP79T00975A005700330001-2;2050111_CIA-RDP79T00975A001000040001-5;2050145_CIA-RDP79T00975A001200200001-5;2058863_CIA-RDP79T00975A001400410001-0;2063769_CIA-RDP79T00975A002800230001-5;2064612_CIA-RDP79T00975A000900540001-2;2066860_CIA-RDP79T00975A003100510001-0;2066864_CIA-RDP79T00975A003500290001-1;2066866_CIA-RDP79T00975A003600120001-8;2692623_CIA-RDP79T00975A000600520001-7;2693977_CIA-RDP79T00975A000900320001-6,771.2110953338799
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:12,META_LINK,7.064437353029298,2402,2000176_CIA-RDP79T00975A005500160001-3;2000178_CIA-RDP79T00975A005500180001-1;2000179_CIA-RDP79T00975A005500190001-0;2000183_CIA-RDP79T00975A005500230001-5;2000188_CIA-RDP79T00975A005500300001-7;2000189_CIA-RDP79T00975A005500310001-6;2000193_CIA-RDP79T00975A005500350001-2;2001968_CIA-RDP79T00975A005600110001-7;2001971_CIA-RDP79T00975A005600210001-6;2001973_CIA-RDP79T00975A005600250001-2;2001975_CIA-RDP79T00975A005600290001-8;2001979_CIA-RDP79T00975A005600350001-1;2001981_CIA-RDP79T00975A005600370001-9;2001983_CIA-RDP79T00975A005600390001-7;2001986_CIA-RDP79T00975A005600420001-3;2001987_CIA-RDP79T00975A005600430001-2;2001995_CIA-RDP79T00975A005700060001-2;2001998_CIA-RDP79T00975A000300300001-4;2003071_CIA-RDP79T00975A000200490001-5;2003072_CIA-RDP79T00975A000200500001-3;2003075_CIA-RDP79T00975A000200540001-9;2008407_CIA-RDP79T00975A000500200001-3;2014430_CIA-RDP79T00975A000300490001-4;2014438_CIA-RDP79T00975A000300410001-2;2016344_CIA-RDP79T00975A000600300001-1;2018012_CIA-RDP79T00975A000900350001-3;2020556_CIA-RDP79T00975A000400130001-2;2020561_CIA-RDP79T00975A000700010001-2;2020572_CIA-RDP79T00975A000900630001-2;2020584_CIA-RDP79T00975A001200260001-9,1168.6237010540524
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:13,META_LINK,6.530340779370087,1918,2000189_CIA-RDP79T00975A005500310001-6;2000195_CIA-RDP79T00975A005500370001-0;2001985_CIA-RDP79T00975A005600410001-4;2001988_CIA-RDP79T00975A005600440001-1;2008390_CIA-RDP79T00975A000400590001-2;2020574_CIA-RDP79T00975A001000300001-6;2022702_CIA-RDP79T00975A001700660001-0;2026616_CIA-RDP79T00975A005600040001-5;2039272_CIA-RDP79T00975A002900390001-7;2046532_CIA-RDP79T00975A000500360001-6;2049782_CIA-RDP79T00975A005700110001-6;2049783_CIA-RDP79T00975A005700120001-5;2049787_CIA-RDP79T00975A005700180001-9;2049800_CIA-RDP79T00975A005700410001-3;2058870_CIA-RDP79T00975A003400370001-3;2066861_CIA-RDP79T00975A003400380001-2;2066864_CIA-RDP79T00975A003500290001-1;2066865_CIA-RDP79T00975A003500470001-1;2685624_CIA-RDP79T00975A000700570001-1;2692608_CIA-RDP79T00975A000600170001-6;2692622_CIA-RDP79T00975A000600480001-2;2733133_CIA-RDP79T00975A000200350001-0;2733146_CIA-RDP79T00975A000400110001-4;2739299_CIA-RDP79T00975A000400310001-2;2739451_CIA-RDP79T00975A000300310001-3;2740733_CIA-RDP79T00975A000300010001-6;2745277_CIA-RDP79T00975A000300650001-6;2745281_CIA-RDP79T00975A000300700001-0;2872227_CIA-RDP79T00975A001200100001-6;2874600_CIA-RDP79T00975A003700170001-1,684.6318208649473
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:14,META_LINK,6.115571802793141,1285,2000176_CIA-RDP79T00975A005500160001-3;2000189_CIA-RDP79T00975A005500310001-6;2003050_CIA-RDP79T00975A000100600001-3;2003051_CIA-RDP79T00975A000200020001-6;2003074_CIA-RDP79T00975A000200530001-0;2003082_CIA-RDP79T00975A000300120001-4;2008392_CIA-RDP79T00975A000500020001-3;2008408_CIA-RDP79T00975A000500210001-2;2014429_CIA-RDP79T00975A000100500001-4;2016345_CIA-RDP79T00975A000600360001-5;2016348_CIA-RDP79T00975A000700200001-1;2018009_CIA-RDP79T00975A000900270001-2;2020577_CIA-RDP79T00975A001000390001-7;2020578_CIA-RDP79T00975A001000460001-9;2020583_CIA-RDP79T00975A001200240001-1;2020902_CIA-RDP79T00975A001200370001-7;2020904_CIA-RDP79T00975A001300330001-0;2026953_CIA-RDP79T00975A001700120001-9;2027254_CIA-RDP79T00975A001800500001-6;2046548_CIA-RDP79T00975A000500600001-9;2046568_CIA-RDP79T00975A000600500001-9;2046571_CIA-RDP79T00975A000700150001-7;2049781_CIA-RDP79T00975A005700100001-7;2050116_CIA-RDP79T00975A001000350001-1;2050130_CIA-RDP79T00975A001000540001-0;2050144_CIA-RDP79T00975A001200190001-7;2051070_CIA-RDP79T00975A000900020001-9;2059477_CIA-RDP79T00975A001200640001-7;2063771_CIA-RDP79T00975A002900190001-9;2064584_CIA-RDP79T00975A000600470001-3,451.8549170593982
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:15,META_LINK,6.124095967052836,1251,2000177_CIA-RDP79T00975A005500170001-2;2001970_CIA-RDP79T00975A005600170001-1;2001991_CIA-RDP79T00975A005600480001-7;2003073_CIA-RDP79T00975A000200510001-2;2014431_CIA-RDP79T00975A000300560001-6;2014435_CIA-RDP79T00975A000300340001-0;2018019_CIA-RDP79T00975A000900580001-8;2026616_CIA-RDP79T00975A005600040001-5;2026617_CIA-RDP79T00975A005600070001-2;2026945_CIA-RDP79T00975A001600330001-7;2027253_CIA-RDP79T00975A001800340001-4;2046535_CIA-RDP79T00975A000500400001-1;2046544_CIA-RDP79T00975A000500510001-9;2046562_CIA-RDP79T00975A000600090001-5;2049778_CIA-RDP79T00975A005700070001-1;2049783_CIA-RDP79T00975A005700120001-5;2049784_CIA-RDP79T00975A005700130001-4;2049792_CIA-RDP79T00975A005700330001-2;2049797_CIA-RDP79T00975A005700380001-7;2050105_CIA-RDP79T00975A000900560001-0;2050106_CIA-RDP79T00975A000900610001-4;2051072_CIA-RDP79T00975A000900080001-3;2058870_CIA-RDP79T00975A003400370001-3;2064588_CIA-RDP79T00975A000700060001-7;2682861_CIA-RDP79T00975A000100250001-2;2692629_CIA-RDP79T00975A000600580001-1;2698157_CIA-RDP79T00975A000600020001-2;2731969_CIA-RDP79T00975A005600230001-4;2745271_CIA-RDP79T00975A000300590001-3;2869406_CIA-RDP79T00975A001300030001-3,455.73162613681455
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:16,META_LINK,5.516543165822753,650,2000188_CIA-RDP79T00975A005500300001-7;2000189_CIA-RDP79T00975A005500310001-6;2001973_CIA-RDP79T00975A005600250001-2;2001982_CIA-RDP79T00975A005600380001-8;2001983_CIA-RDP79T00975A005600390001-7;2001991_CIA-RDP79T00975A005600480001-7;2018005_CIA-RDP79T00975A000900070001-4;2049787_CIA-RDP79T00975A005700180001-9;2049788_CIA-RDP79T00975A005700200001-6;2049789_CIA-RDP79T00975A005700220001-4;2049790_CIA-RDP79T00975A005700230001-3;2049793_CIA-RDP79T00975A005700340001-1;2049794_CIA-RDP79T00975A005700350001-0;2049800_CIA-RDP79T00975A005700410001-3;2059478_CIA-RDP79T00975A001200680001-3;2064591_CIA-RDP79T00975A000700240001-7;2066864_CIA-RDP79T00975A003500290001-1;2740733_CIA-RDP79T00975A000300010001-6;2872249_CIA-RDP79T00975A001200350001-9;2977775_CIA-RDP79T00975A005000340001-8;2977776_CIA-RDP79T00975A005000360001-6;2977780_CIA-RDP79T00975A005000500001-0;2977783_CIA-RDP79T00975A005300270001-3;2977794_CIA-RDP79T00975A005300410001-7;2993693_CIA-RDP79T00975A005400280001-1;2993711_CIA-RDP79T00975A005700310001-4;2995584_CIA-RDP79T00975A002200600001-0;3000916_CIA-RDP79T00975A001700380001-1;3001361_CIA-RDP79T00975A001600190001-3;3007384_CIA-RDP79T00975A005600190001-9,247.77358007634032
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:17,META_LINK,3.696771484553583,172,2049792_CIA-RDP79T00975A005700330001-2;2066866_CIA-RDP79T00975A003600120001-8;2696829_CIA-RDP79T00975A000500230001-0;3029875_CIA-RDP79T00975A004600190001-0;3031255_CIA-RDP79T00975A004700500001-4;3172470_CIA-RDP79T00975A003500160001-5;3177770_CIA-RDP79T00975A003600020001-9;3177774_CIA-RDP79T00975A003600070001-4;3177785_CIA-RDP79T00975A003600230001-6;3177797_CIA-RDP79T00975A003600400001-7;3177895_CIA-RDP79T00975A005100150001-8;3184090_CIA-RDP79T00975A003600380001-0;3184158_CIA-RDP79T00975A004900290001-6;3191548_CIA-RDP79T00975A004500290001-0,39.31693018393991
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:18,META_LINK,2.3298196362911723,44,2692608_CIA-RDP79T00975A000600170001-6;2872256_CIA-RDP79T00975A001200460001-7;5973594_CIA-RDP79T00975A000800260001-7;5973618_CIA-RDP79T00975A000800500001-0,9.276087932555587
