original_normalized_label,canonical_label,canonical_key,method,confidence
USSR,USSR,CANONICAL_ENTITY:USSR,multi_sense_label,1.0
SOVIET UNION,SOVIET UNION (COUNTRY BULLETIN INTELLIGENCE),CANONICAL_ENTITY:SOVIET_UNION_COUNTRY_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0
EGYPT,EGYPT (BULLETIN TURKISH COUNTRY),CANONICAL_ENTITY:EGYPT_BULLETIN_TURKISH_COUNTRY,a3_single_cluster_self,1.0
FRANCE,FRANCE (COUNTRY BULLETIN INTELLIGENCE),CANONICAL_ENTITY:FRANCE_COUNTRY_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0
UNITED STATES,UNITED STATES (COUNTRY BULLETIN INTELLIGENCE),CANONICAL_ENTITY:UNITED_STATES_COUNTRY_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0
PEIPING,PEIPING,CANONICAL_ENTITY:PEIPING,multi_sense_label,1.0
KHRUSHCHEV,KHRUSHCHEV,CANONICAL_ENTITY:KHRUSHCHEV,a5_consolidated,0.91
ISRAEL,ISRAEL (COUNTRY BULLETIN INTELLIGENCE),CANONICAL_ENTITY:ISRAEL_COUNTRY_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0
COMMUNIST CHINA,COMMUNIST CHINA (COUNTRY BULLETIN IRANIAN),CANONICAL_ENTITY:COMMUNIST_CHINA_COUNTRY_BULLETIN_IRANIAN,a3_single_cluster_self,1.0
INDIA,INDIA (COUNTRY BULLETIN MOROCCO),CANONICAL_ENTITY:INDIA_COUNTRY_BULLETIN_MOROCCO,a3_single_cluster_self,1.0
IRAQ,IRAQ (COUNTRY BULLETIN SYRIA),CANONICAL_ENTITY:IRAQ_COUNTRY_BULLETIN_SYRIA,a3_single_cluster_self,1.0
VIET MINH,VIET MINH,CANONICAL_ENTITY:VIET_MINH,multi_sense_label,1.0
UAR,UAR,CANONICAL_ENTITY:UAR,multi_sense_label,1.0
LAOS,LAOS (BULLETIN INTELLIGENCE IRAN),CANONICAL_ENTITY:LAOS_BULLETIN_INTELLIGENCE_IRAN,a3_single_cluster_self,1.0
JAPAN,JAPAN (COUNTRY BULLETIN INDIA),CANONICAL_ENTITY:JAPAN_COUNTRY_BULLETIN_INDIA,a3_single_cluster_self,1.0
TURKEY,TURKEY (COUNTRY BULLETIN INTELLIGENCE),CANONICAL_ENTITY:TURKEY_COUNTRY_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0
SYRIA,SYRIA (COUNTRY BULLETIN INTELLIGENCE),CANONICAL_ENTITY:SYRIA_COUNTRY_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0
IRAN,IRAN (COUNTRY BULLETIN HUSSEIN),CANONICAL_ENTITY:IRAN_COUNTRY_BULLETIN_HUSSEIN,a3_single_cluster_self,1.0
JORDAN,JORDAN (COUNTRY BULLETIN SYRIA),CANONICAL_ENTITY:JORDAN_COUNTRY_BULLETIN_SYRIA,a3_single_cluster_self,1.0
