node_key,community_id,community
CANONICAL_ENTITY:10TH_AIR_ARMY__06D70836F3,617,617
CANONICAL_ENTITY:10TH_AIR_ARMY__526483EF40,2151,2151
CANONICAL_ENTITY:10TH_AIR_ARMY__81860189AE,565,565
CANONICAL_ENTITY:10TH_AIR_DIVISION__403960816E,676,676
CANONICAL_ENTITY:10TH_ARTILLERY_DIVISION__0EFA616A8E,121,121
CANONICAL_ENTITY:11TH_ARMORED_INFANTRY_BRIGADE__94559B74DF,0,0
CANONICAL_ENTITY:11TH_ARMY__42775C5DEE,2019,2019
CANONICAL_ENTITY:11TH_INTER_AMERICAN_CONFERENCE__665508FAF2,1553,1553
CANONICAL_ENTITY:11_MEMBER_EXECUTIVE_COUNCIL__EBEAC36E1C,281,281
CANONICAL_ENTITY:12TH_ARMY__31678428BF,1897,1897
CANONICAL_ENTITY:12_NATION_COMMISSION__A650DB1172,1518,1518
CANONICAL_ENTITY:12__9E2CFB8C4B,73,73
CANONICAL_ENTITY:13TH_AIR_DIVISION__E8A8EC3D36,677,677
CANONICAL_ENTITY:13TH_ARMY__002FDAAADD,2019,2019
CANONICAL_ENTITY:13TH_OF_MARCH_REVOLUTIONARY_DIRECTORATE__DF0ED97D48,1002,1002
CANONICAL_ENTITY:140TH_DIVISION_47TH_ARMY__4511F5789D,678,678
CANONICAL_ENTITY:14TH_ARMY__29C339B839,507,507
CANONICAL_ENTITY:14TH_DIVISION__F864E5B569,1480,1480
CANONICAL_ENTITY:14TH_OF_MAY_MOVEMENT__9BEAA44DD9,2338,2338
CANONICAL_ENTITY:16_MAY_1961__56DFC22918,2119,2119
CANONICAL_ENTITY:18TH_DIVISION__486CBFAE64,122,122
CANONICAL_ENTITY:1936_ANGLO_EGYPTIAN_TREATY__3300047F93,2067,2067
CANONICAL_ENTITY:1952_MUTUAL_SECURITY_ACT__030977B247,1957,1957
CANONICAL_ENTITY:1954_GENEVA_AGREEMENT__51F4E29C81,74,74
CANONICAL_ENTITY:1954_GENEVA_CONFERENCE__4C0224A10A,75,75
CANONICAL_ENTITY:1ST_AIRBORNE_BATTALION__832E0FCCED,123,123
CANONICAL_ENTITY:1ST_INFANTRY_DIVISION__9A80A094A6,960,960
CANONICAL_ENTITY:1ST_MILITARY_REGION__DEBB116C26,914,914
CANONICAL_ENTITY:1ST_NAVAL_AIR_DIVISION__7F36663B03,679,679
CANONICAL_ENTITY:20TH_ARMY__3EE14915E6,1897,1897
CANONICAL_ENTITY:20TH_PARTY_CONGRESS__8C7C307881,566,566
CANONICAL_ENTITY:21ST_OF_SEPTEMBER_MOVEMENT__A6688889D2,866,866
CANONICAL_ENTITY:23RD_CHINESE_COMMUNIST_ARMY__8A19F8F2F1,1986,1986
CANONICAL_ENTITY:26TH_AIR_DIVISION__56666AC6BC,680,680
CANONICAL_ENTITY:26TH_OF_JULY_MOVEMENT__8F17263C72,1003,1003
CANONICAL_ENTITY:26_OF_JULY_MOVEMENT__3016210683,1004,1004
CANONICAL_ENTITY:27TH_ARMY__5C937F59F9,1897,1897
CANONICAL_ENTITY:2ND_ARMY_GROUP__35952F2BF0,224,224
CANONICAL_ENTITY:2ND_DIVISION__804E9F4A9A,1865,1865
CANONICAL_ENTITY:2ND_FIELD_ARMY__8FE70BA386,2019,2019
CANONICAL_ENTITY:2ND_GUARDS_MECHANIZED_DIVISION__CACB952C24,1148,1148
CANONICAL_ENTITY:2ND_PARATROOP_BATTALION__186C9CE758,76,76
CANONICAL_ENTITY:308TH_DIVISION__7D94145741,867,867
CANONICAL_ENTITY:316TH_DIVISION__A1D9231DE8,121,121
CANONICAL_ENTITY:320TH_DIVISION__BF5E6A1E05,77,77
CANONICAL_ENTITY:325TH_DIVISION__AEA96C44D3,121,121
CANONICAL_ENTITY:32ND_MECHANIZED_DIVISION__487223F83D,1148,1148
CANONICAL_ENTITY:335TH_DIVISION__7726F82E2E,78,78
CANONICAL_ENTITY:35TH_ARMY__29348E71D1,681,681
CANONICAL_ENTITY:3RD_INDEPENDENT_REGIMENT__E2F83D095D,79,79
CANONICAL_ENTITY:3RD_INFANTRY_DIVISION__6C4332E544,2095,2095
CANONICAL_ENTITY:3_700_WORKERS__E0C30C8C74,1340,1340
CANONICAL_ENTITY:46TH_CHINESE_ARMY__17A0BD0F66,682,682
CANONICAL_ENTITY:50TH_AIR_ARMY__F1855B10F6,2261,2261
CANONICAL_ENTITY:527TH_BATTALION__3B7BFCB0A2,282,282
CANONICAL_ENTITY:54TH_BATTALION__F96ED3DE76,1958,1958
CANONICAL_ENTITY:59TH_AIR_ARMY__6B2DBCE134,1189,1189
CANONICAL_ENTITY:5TH_FLEET_AIR_FORCE__9C2817DAF2,617,617
CANONICAL_ENTITY:5TH_HUNGARIAN_RIFLE_DIVISION__73D85D9864,1148,1148
CANONICAL_ENTITY:60TH_ARMY__F85FD55C9A,915,915
CANONICAL_ENTITY:62_GROUP__36F722A8F7,1292,1292
CANONICAL_ENTITY:67TH_ARMY__F26B7C1B73,175,175
CANONICAL_ENTITY:6TH_BOMBER_CORPS__4204C0134F,1045,1045
CANONICAL_ENTITY:6_JANUARY_1961__1B80B7B9D7,2120,2120
CANONICAL_ENTITY:7TH_DIVISION__FC747E0F5E,124,124
CANONICAL_ENTITY:7TH_FLEET__E2C0B33E31,617,617
CANONICAL_ENTITY:7TH_GUARDS_MECHANIZED_DIVISION__805E8F133A,393,393
CANONICAL_ENTITY:7_OPPOSITION_POLITICAL_PARTIES__2078F3BA29,125,125
CANONICAL_ENTITY:80TH_BOMBER_CORPS__137FCB59B4,225,225
CANONICAL_ENTITY:82_NATION_UN_DISARMAMENT_COMMISSION__238500A247,283,283
CANONICAL_ENTITY:8TH_AIR_DIVISION__9D9FC380FE,1293,1293
